,,,,,,,,,,,,,,,,,,,LISTING PARTITIONS HMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITRE,AUTEUR,ARRANGEUR,Ref. Classement,Conducteur,Piccolo,Ptte flûte réb,Flûte 1,Flûte 2 ,Hautbois 1 ,Hautbois 2,Basson 1,Basson 2,Petite Clarinette Mib,Clarinette Alto,Clarinette Solo,Clarinette 1 Sib,Clarinette 2 Sib,Clarinette 3 Sib,Clarinette Basse,Sax. Soprano,Sax Alto 1,Sax Alto 2 ,Sax Alto 3 ,Sax Ténor 1 ,Sax Ténor 2,Sax Baryton,Sax Basse,Bugle 1,Bugle 2,Cornet 1,Cornet 2,Cornet 3,Trompette 1,Trompette 2,Trompette 3,Cor fa 1 + Mib,Cor fa 2 + Mib,Cor fa 3 + Mib,Cor fa 4 + Mib,Trombone Ut 1,Trombone Ut 2,Trombone Ut 3,Trombone Ut 4,Trombone Sib 1 clé fa,Trombone Sib2 Clé fa,Trombone Sib3 clé fa,Trombone Sib 4 clé fa,Trombone sib 1 clé sol,TromboneSib2 clé de sol,Trombone Sib 3 clé de sol,Tuba Ut clé de fa,Tuba sib clé de fa,Baryton sib clé de sol,Euphonium Ut clé de fa,Euph 1 Sib clé de fa + sol,Euphonium 2 Sib clé de fa,Basse Sib clé de fa,Basse Sib clé de sol,Contrebasse Sib clé de fa,Contrebasse Sib clé de sol,Contrebasse Mib clé de fa,Contrebasse Mib clé de sol,Contrebasse Ut clé de Fa,Batterie,Percussion 1,Percussion 2,Timbales,Divers,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Néron,Popy,,A 050,1,0,1,2,0,1,0,1,,1,,0,6,6,0,0,1,2,0,0,2,0,2,,3,2,4,3,0,1,0,0,0,2,3,0,1,1,1,,0,0,0,,0,0,0,0,,1+1,0,0,0,1+5,0,1,0,1,0,0,1,0,0,2, 1trpt Mib,
Les yeux noirs,Menichetti,,A 051,0,0,1,1,0,1,0,0,,1,,0,2,3,3,0,1,1,0,0,1,0,1,,1,1,3,3,0,1,0,0,1,1,0,0,1,1,1+1,,0,0,0,,0,0,0,0,,2,0,0,0,4,1,1,0,0,0,0,1,0,0,0,1bugle Mib,
Football Association,Lifererman,Désiré Dondeyne,A 052,0,2,2,0,4,0,0,0,,4,,0,11,8,0,2,2,5,0,0,3,0,2,,0,0,2,0,0,3,6,0,4,0,0,0,0,4,0,,0,0,0,,0,4,0,0,,0,0,0,0,5,2,2,2,2,2,0,2,0,0,0,,
Les Jeux Olympiques,Francis Poppy,G. Robichon,A 054,3,0,1,3,0,2,0,1,,1,,0,4,3,0,0,1,2,0,0,3,0,4,,2,2,1,1,0,3,3,0,3,2,1,0,1+1,1,2,,1,0,0,,0,0,0,0,,1+1,0,0,0,1,4,4,0,1,1,2,1,1,0,1,1 bugle miB,
Faust fantaisie,Gounod,Bouchel,A 055,0,0,1,3,0,2,0,1,,1,,1,10,5,1,0,1,5,0,2,4,0,2,,2,3,0,0,0,5,4,1,2,4+2,0,0,1,2,2,,0,0,0,,0,0,0,0,,1,0,0,0,1+5,0,2,0,2,0,1,2,0,0,1,2 bugles miB + 2trompettes 2 miB + 1 trombone UT 4,
Symphonie des jouets,Léopold Mozart,,A 056,0,0,0,0,0,0,0,1,,1,,0,12,8,0,1,0,3,3,0,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,5,0,2,0,1,0,1,0,2+2,2+2,0,,
Divertissement des Erinnyes,Jules Massenet,,A 057,0,0,1,3,0,2,0,2,,2,,2,5,3,0,0,1,5,0,0,3,0,2,,2,2,2,3,0,1,1,0,2,1,0,0,1,1,1,,0,0,0,,0,0,0,0,,2,0,0,0,4,0,1,0,1,0,2,2,0,0,1, 1 bugle miB,
Le conte du Luxembourg,Franz Léhar,,A 058,1,0,1,2,0,1,1,0,,1,,0,6,4,3,0,1,3,0,0,2,0,2,,3,2,0,0,0,4,3,0,2+1,2,0,0,1,1,0,,0,0,0,,0,0,0,0,,2+2,0,0,0,1+4,0,1,0,1,0,1,1,1,0,0,1 tromboneUT 4,
North Dakota,James Cower,,A 059,1,0,1,5,0,1,0,0,,1,,0,9,9,0,0,1,6,0,0,2,0,1,,2,2,0,0,0,5,3,0,4,0,0,0,2,1,1,,0,0,0,,0,0,0,1,,1+1,0,0,0,2,1,5,0,1,0,0,2,1,0,0,,
La tosca,Puccini,,A 060,0,0,1,1,0,1,1,1,,1,,1,5,3,3,0,1,3,0,0,3,0,2,,2,2,0,0,0,2+2,2,0,2,3+3,0,0,0,0,0,,1,1,1,,0,0,0,0,,2+2,0,0,0,6+6,0,3,0,3,0,1,1,0,0,1,1trompette4 + 2 trompettes en fa  + 1 trombone siB clé de fa 4,
Les Roses,Olivier Metra,,A 061,0,0,1,2,0,1,0,0,,1,,0,6,4,0,0,0,3,0,0,2,0,1,,1,0,0,0,0,5,1,0,2,1,0,0,1,1,2,,0,0,0,,0,0,0,0,,1,0,0,0,1,1,5,0,1,0,0,1,0,0,0,1bugle solo,
Concerto en fa mineur,G.Fr.Haendel,,A 062,1,0,0,0,0,0,0,0,,0,,0,9,6,0,0,0,4,0,0,3,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,,
